Name|||Region|||Address|||LegalRepresentative|||Scale|||BusinessContactLevel|||Email|||Phone|||User
Wangke|||新加坡|||人民大道100号|||吴九|||中|||高|||contact@wangke.com|||13800138000|||Michael Jordan
Tencent|||伦敦|||高科技园300街|||Jane Smith|||大|||中|||support@tencent.com|||+86 13800138001, 13800138000|||Michael Jordan
Kyoto|||莫斯科|||长安街200号|||周八|||小|||高|||info@kyoto.com|||13900139000|||李小花
Mi|||Shanghai|||人民大道100号|||李四|||小|||高|||support@mi.com|||+86 13800138001, 13900139000, 13800138000|||Michael Jordan
Lenovo|||悉尼|||经济开发区400路|||郑十|||小|||高|||contact@lenovo.com|||13900139000, 13800138000, +86 13900139001|||李小花
Kyoto1|||悉尼|||长安街200号|||Jane Smith|||小|||低|||info@kyoto.com|||+86 13900139001, 13900139000|||张小强
Kyoto2|||Shanghai|||长安街200号|||郑十|||大|||高|||contact@kyoto.com|||+86 13800138001|||王小明
Haier|||巴黎|||经济开发区400路|||赵六|||中|||中|||contact@haier.com|||13900139000, 13800138000|||Bruce Lee
Haier1|||悉尼|||高科技园300街|||张三|||大|||低|||contact@haier.com|||13900139000|||Bruce Lee
Huarunzhidi|||Tokyo|||高科技园300街|||李四|||大|||中|||info@huarunzhidi.com|||13800138000, +86 13800138001, 13900139000|||王小明
Huarunzhidi1|||北京|||经济开发区400路|||李四|||大|||高|||contact@huarunzhidi.com|||13900139000, +86 13900139001|||Bruce Lee
Tencent1|||巴黎|||长安街200号|||王五|||小|||中|||info@tencent.com|||13900139000|||Michael Jordan
Huarunzhidi2|||巴黎|||国际商务中心500广场|||赵六|||中|||高|||contact@huarunzhidi.com|||+86 13800138001, +86 13900139001, 13900139000|||Micha
Wangke1|||悉尼|||长安街200号|||王五|||大|||中|||contact@wangke.com|||+86 13900139001, 13800138000, 13900139000|||王小明
Mi1|||新加坡|||经济开发区400路|||李四|||小|||低|||info@mi.com|||13800138000, +86 13900139001, 13900139000|||赵天宇
Kyoto3|||首尔|||长安街200号|||王五|||小|||高|||support@kyoto.com|||13900139000, +86 13900139001|||Michael Jordan
Tencent2|||Tokyo|||国际商务中心500广场|||张三|||大|||低|||support@tencent.com|||13800138000|||李小花
Mi2|||悉尼|||国际商务中心500广场|||周八|||大|||高|||support@mi.com|||13900139000, +86 13900139001|||Michael Jordan
Mi3|||NewYork|||高科技园300街|||郑十|||小|||中|||contact@mi.com|||+86 13900139001, 13800138000, 13900139000|||李小花
Greenland|||巴黎|||高科技园300街|||Jane Smith|||大|||中|||support@greenland.com|||+86 13800138001, 13800138000|||李小花
Wangke2|||巴黎|||国际商务中心500广场|||张三|||中|||高|||info@wangke.com|||+86 13900139001|||Bruce Lee
Wangke3|||莫斯科|||国际商务中心500广场|||孙七|||大|||中|||contact@wangke.com|||+86 13900139001|||Michael Jordan
Wangke4|||北京|||人民大道100号|||吴九|||中|||高|||info@wangke.com|||13900139000|||王小明
Kyoto4|||Tokyo|||经济开发区400路|||王五|||小|||低|||contact@kyoto.com|||+86 13800138001|||赵天宇
Mi4|||NewYork|||经济开发区400路|||王五|||大|||高|||info@mi.com|||13900139000|||李小花
Lenovo1|||巴黎|||长安街200号|||李四|||中|||低|||support@lenovo.com|||+86 13800138001, +86 13900139001|||王小明
Tencent3|||莫斯科|||经济开发区400路|||孙七|||大|||低|||info@tencent.com|||13900139000|||赵天宇
Haier2|||莫斯科|||高科技园300街|||李四|||小|||高|||info@haier.com|||13900139000, +86 13900139001|||王小明
Baidu|||悉尼|||国际商务中心500广场|||John Doe|||小|||中|||support@baidu.com|||13900139000, +86 13800138001|||张小强
Baidu1|||NewYork|||经济开发区400路|||郑十|||中|||中|||support@baidu.com|||+86 13900139001|||Bruce Lee
Lenovo2|||巴黎|||经济开发区400路|||Jane Smith|||小|||中|||info@lenovo.com|||+86 13800138001, +86 13900139001|||王小明
Ali|||莫斯科|||国际商务中心500广场|||张三|||小|||中|||contact@ali.com|||13900139000, 13800138000|||李小花
Greenland1|||巴黎|||长安街200号|||赵六|||小|||低|||info@greenland.com|||+86 13900139001|||李小花
Lenovo3|||Tokyo|||经济开发区400路|||周八|||大|||低|||contact@lenovo.com|||13900139000, +86 13900139001|||Bruce Lee
Lenovo4|||新加坡|||人民大道100号|||李四|||中|||低|||support@lenovo.com|||13900139000|||李小花
Haier3|||莫斯科|||经济开发区400路|||赵六|||小|||高|||contact@haier.com|||+86 13800138001, 13900139000|||李小花
Ali1|||NewYork|||人民大道100号|||John Doe|||大|||低|||support@ali.com|||+86 13900139001, 13800138000|||张小强
Kyoto5|||北京|||经济开发区400路|||孙七|||中|||中|||contact@kyoto.com|||13900139000, +86 13800138001, 13800138000|||Michael Jordan
Baidu2|||Shanghai|||高科技园300街|||李四|||大|||低|||info@baidu.com|||+86 13800138001, +86 13900139001, 13900139000|||Bruce Lee
Huarunzhidi3|||伦敦|||高科技园300街|||张三|||大|||高|||contact@huarunzhidi.com|||+86 13800138001|||李小花
Haier4|||新加坡|||高科技园300街|||吴九|||小|||低|||contact@haier.com|||+86 13800138001, 13800138000, +86 13900139001|||赵天宇
Lenovo5|||悉尼|||高科技园300街|||郑十|||中|||高|||info@lenovo.com|||13800138000, +86 13800138001|||李小花
Ali2|||首尔|||国际商务中心500广场|||赵六|||小|||中|||support@ali.com|||+86 13900139001, 13800138000, +86 13800138001|||Bruce
Greenland2|||Tokyo|||长安街200号|||郑十|||小|||中|||contact@greenland.com|||13900139000|||王小明
Ali3|||Tokyo|||长安街200号|||吴九|||大|||低|||info@ali.com|||+86 13800138001|||李小花
Kyoto6|||Tokyo|||国际商务中心500广场|||王五|||小|||低|||support@kyoto.com|||+86 13800138001, 13800138000|||Michael Jordan
Kyoto7|||巴黎|||高科技园300街|||王五|||大|||低|||info@kyoto.com|||13800138000|||王小明
Huarunzhidi4|||北京|||经济开发区400路|||王五|||大|||低|||contact@huarunzhidi.com|||+86 13800138001, 13800138000|||Bruce Lee
